Registration,Make,Model,Color,Year,EngineSize
D459GCW,Ford,Fiesta,Black,1998,1798
D461FND,Peugeot,107,Black,1998,1595
D475LNR,Skoda,Citigo,Blue,1998,1697
D477YEE,Peugeot,308,Blue,1998,1298
D498RPR,Volkswagen,Sharan,White,1998,1598
D506UED,Mazda,5,Blue,1998,1298
D515RYB,Skoda,Kodiaq,Green,1998,1595
D522YPW,Jeep,Renegade,Grey,1998,1295
D536VAK,Ford,Kuga,Purple,1998,1600
D545HHB,Seat,Ibiza,Blue,1998,1598
D545UNA,Peugeot,Horizon,Blue,1998,1697
D547RXN,Volvo,Xc60,Orange,1998,1496
D553VBM,Vauxhall,Astra,Gold,1998,1795
D559NRK,Nissan,Note,Turquoise,1998,1399
D601PEY,Vauxhall,Viva,Grey,1998,1695
D617HKY,Volkswagen,Golf,Black,1998,1196
D622PUT,Volkswagen,Golf,Green,1998,1600
D626GJW,Hyundai,I10,Orange,1998,1500
D629NPL,Ford,Kuga,Silver,1998,1296
D647URF,Nissan,Note,Purple,1998,1599
D649GXU,Ford,Kuga,Black,1998,1295
D695VET,Mini,One,Purple,1998,1496
D701FWD,Suzuki,Swift,Green,1998,1298
D733LCY,Vauxhall,Astra,Grey,1998,1899
D737DXE,Audi,A1,Gold,1998,1198
D759YAB,Volkswagen,Caddy,Green,1998,1498
D760DTN,Ford,Fiesta,Gold,1998,1698
D760MUK,Honda,Accord,Yellow,1998,1400
D763FBR,Volkswagen,Touran,Gold,1998,1695
D770YKJ,Citroen,C3,Red,1998,1600
D771LNT,Citroen,Ds5,Grey,1998,1697
D804MJR,Honda,Jazz,Grey,1998,1500
D810MBE,Seat,Ibiza,Purple,1998,1599
D811XRH,Skoda,Octavia,Yellow,1998,1200
D817KMH,Kia,Sportage,Silver,1998,1299
D822GTL,Suzuki,Swift,Green,1998,1496
D826BGY,Volkswagen,Polo,Yellow,1998,1795
D827BEY,Audi,Q2,Orange,1998,1597
D829BDF,Peugeot,108,Silver,1998,1700
D831NUN,Mini,One,Gold,1998,1500
D840BHT,Nissan,Qashqai,Red,1998,1598
D866VWT,Ford,Fiesta,Red,1998,1598
D867END,Volkswagen,Golf,Green,1998,1295
D869CVR,Skoda,Fabia,Silver,1998,1497
D897MTE,Vauxhall,Corsa,Black,1998,996
D900UGG,Honda,Crv,Turquoise,1998,1698
D906EPW,Nissan,Note,Yellow,1998,1597
D908AJT,Renault,Twingo,Turquoise,1998,1497
D909EJD,Toyota,Yaris,Green,1998,1895
D917WNL,Audi,Q3,White,1998,1600
D924XBG,Audi,A3,White,1998,1698
D934ETP,Seat,Arona,Black,1998,1199
D939BVC,Nissan,Micra,Green,1998,1397
D946MBY,Ford,Fiesta,Green,1998,1600
D962JTH,Smart,Forfour,Orange,1998,1498
D969VKU,Volvo,S40,Silver,1998,1497
D977JGD,Vauxhall,Corsa,Grey,1998,1600
DA04AHF,Kia,Sportage,Blue,2004,1296
DA05VHV,Audi,S3,Green,2005,1996
DA06TER,Audi,Q5,Gold,2006,1300
DA13YCM,Honda,Civic,Grey,2013,1497
DA14JXB,Skoda,Octavia,Yellow,2014,1500
DA14UPL,Hyundai,Trajet,Black,2014,1399
DA18AVF,Citroen,Berlingo,Black,2018,1895
DB08JYW,Fiat,Bravo,Gold,2008,1300
DB14LTJ,Ford,Mustang,Yellow,2014,1497
DB18RNB,Audi,A3,Orange,2018,1698
DBH395C,Peugeot,208,Green,1980,1699
DC01YTP,Mini,Cooper,Turquoise,2001,1698
DC11PKT,Honda,Jazz,Silver,2011,1700
DC13HDM,Suzuki,Vitara,Black,2013,1497
DC13VLY,Peugeot,207,Silver,2013,1695
DCD511L,Citroen,C1,Blue,1971,1400
DCJ440H,Hyundai,I20,Blue,1975,1400
DCL192L,Toyota,Prius,Blue,1971,1397
DD05XHC,Bmw,X3,Gold,2005,1699
DD15VGH,Toyota,Yaris,Gold,2015,1698
DD16KRR,Vauxhall,Corsa,Blue,2016,1697
DD18TUB,Vauxhall,Insignia,White,2018,1596
DD19ARE,Volkswagen,Golf,White,2019,1796
DD20VXA,Vauxhall,Crossland,Purple,2020,1299
DDN845H,Mitsubishi,Outlander,Silver,1975,1200
DE01LTG,Bmw,Z4,Red,2001,1197
DE06JDT,Peugeot,3008,Red,2006,1496
DE11UBM,Fiat,500,Silver,2011,1399
DEJ566F,Volkswagen,Polo,Red,1977,1700
DEJ600J,Volkswagen,Polo,White,1973,1498
DF01JFY,Seat,Ibiza,Red,2001,1795
DF07KLV,Nissan,Micra,Purple,2007,1097
DF10WRK,Suzuki,Sx4,Purple,2010,1197
DF13LJN,Mercedes,200,Gold,2013,1398
DFB227L,Vauxhall,Corsa,Grey,1971,1498
DFX686F,Ford,Galaxy,Blue,1977,1700
DG02HWH,Kia,Sportage,Black,2002,1297
DG03NRR,Audi,Q2,Silver,2003,1898
DG11PVE,Kia,Sportage,Purple,2011,1397
DGK534G,Ford,Fiesta,Yellow,1976,1695
DGT638D,Citroen,C4,Gold,1979,1299
DH01YDW,Volvo,Xc60,Orange,2001,1596
DH14EXR,Volkswagen,Golf,Grey,2014,1297
DH14JAD,Vauxhall,Viva,Black,2014,1797
DH14KHL,Audi,A3,Silver,2014,1796
DH14MTH,Renault,Megane,White,2014,1496
DH14VDN,Skoda,Kodiaq,Black,2014,1497
DH19NAJ,Ford,Fusion,Black,2019,1499
DHV492E,Nissan,Micra,Red,1978,1499
DHY441I,Ford,Fiesta,Black,1974,1698
DJG153G,Volkswagen,Golf,Red,1976,2099
DJK454I,Kia,Rio,Red,1974,1499
DJR804H,Smart,Fortwo,Black,1975,1400
DK11FJG,Morgan,Roadster,Blue,2011,1395
DK13TPN,Peugeot,207,Gold,2013,1195
DK19BDP,Audi,A1,Purple,2019,1495
DKG960K,Suzuki,Ignis,Blue,1972,1500
DKK296J,Toyota,Yaris,Green,1973,1500
DL11BTA,Peugeot,508,Orange,2011,1696
DL11JPL,Renault,Koleos,Blue,2011,1598
DL11NHG,Vauxhall,Corsa,Orange,2011,1595
DL17CMH,Ford,Fiesta,Blue,2017,1498
DLB937K,Renault,Megane,Orange,1972,999
DLT814L,Ford,Fiesta,Grey,1971,1596
DLT856K,Vauxhall,Corsa,Grey,1972,1398
DLV180G,Vauxhall,Corsa,Yellow,1976,1896
DLW176D,Peugeot,208,Orange,1979,1500
DLW509J,Volkswagen,Sharan,Purple,1973,1595
DM04YFJ,Peugeot,108,White,2004,1299
DM16JUX,Audi,A1,Blue,2016,1895
DML521E,Toyota,Rav4,Grey,1978,1397
DML645H,Ford,Focus,Black,1975,1295
DMT769D,Ford,Focus,Red,1979,1496
DMU338E,Volkswagen,Golf,Gold,1978,1795
DMY528G,Volkswagen,Up,Green,1976,1400
DN16UXM,Ford,Fiesta,Grey,2016,1297
DN20BCJ,Vauxhall,Mokka,Black,2020,1698
DNM993B,Ford,Kuga,Black,1981,1798
DNW370K,Toyota,Corolla,White,1972,1296
DNX919F,Vauxhall,Corsa,Red,1977,1397
DP01VLF,Peugeot,2008,Orange,2001,1800
DP06WGY,Renault,Clio,White,2006,1897
DP08HPD,Ford,Fiesta,Gold,2008,1397
DP11YUY,Ford,Focus,Black,2011,1898
DP14CWA,Vauxhall,Astra,Orange,2014,1498
DP17UXK,Lexus,Rx450,Yellow,2017,1398
DPJ847I,Bmw,X5,Orange,1974,1700
DPT433F,Honda,Jazz,Grey,1977,1698
DPU842L,Audi,A3,Turquoise,1971,1097
DR01PEV,Skoda,Yeti,Green,2001,1498
DR03VNU,Ford,Ecosport,Red,2003,1800
DR03XPR,Bmw,X1,Yellow,2003,1599
DR05DVX,Citroen,Xsara,Green,2005,1798
DR10PTF,Toyota,Auris,Red,2010,1398
DR19KWR,Nissan,Qashqai,Gold,2019,1296
DRD339D,Ford,Kuga,Silver,1979,1195
DRJ571C,Nissan,Qashqai,Blue,1980,1498
DT01ACE,Citroen,Berlingo,Yellow,2001,1596
DT13VNV,Kia,Rio,Orange,2013,1296
DT18RNW,Toyota,Aygo,Orange,2018,1495
DTG780D,Volkswagen,Golf,Turquoise,1979,1498
DTT714L,Hyundai,I10,Blue,1971,1599
DU01HWX,Ford,Fiesta,Green,2001,1500
DU01NPD,Suzuki,Celerio,Silver,2001,1195
DU02BKL,Vauxhall,Astra,Gold,2002,1399
DUE924L,Skoda,Octavia,Gold,1971,1496
DUK541C,Dacia,Sandero,Grey,1980,1996
DV01KRN,Kia,Ceed,Turquoise,2001,1896
DV01WRP,Audi,Q3,Green,2001,1596
DV04WNE,Seat,Leon,Orange,2004,1600
DVG658K,Mazda,6,Yellow,1972,1299
DVM366F,Ford,Focus,Green,1977,1700
DVN709L,Peugeot,208,Silver,1971,1498
DW01JYW,Audi,A3,White,2001,1297
DW05UPJ,Volkswagen,Beetle,Turquoise,2005,1899
DW16VVK,Kia,Picanto,Black,2016,1400
DW17BRW,Subaru,Impreza,Red,2017,1597
DW20NHX,Mazda,3,Purple,2020,1698
DWE591B,Ford,Focus,Blue,1981,1497
DX01RFA,Daihatsu,Sirion,Orange,2001,1799
DX02PTH,Bmw,X5,Green,2002,1296
DX03JNP,Citroen,C4,Orange,2003,1596
DX19YDK,Seat,Leon,Blue,2019,1595
DXL341L,Volkswagen,Tiguan,Orange,1971,1400
DXR124D,Ford,Focus,Black,1979,1698
DXR159H,Smart,Fortwo,Orange,1975,1599
DXU618I,Audi,Q7,Silver,1974,1597
DY02DWA,Skoda,Octavia,Green,2002,1495
DY06MRN,Audi,Q5,Purple,2006,1599
DY06PRL,Peugeot,206,Silver,2006,1496
DY06VJT,Peugeot,208,Gold,2006,1700
DY08DHB,Ford,Ka,Gold,2008,1798
DY11UGR,Vauxhall,Astra,White,2011,1396
DY20HCF,Volkswagen,Polo,Orange,2020,1500
DYN669F,Vauxhall,Zafira,Red,1977,1496
E124AVD,Volkswagen,Passat,Turquoise,1997,1597
E138BNL,Vauxhall,Corsa,Gold,1997,1996
E149YMP,Toyota,Auris,Yellow,1997,1697
E156JJV,Ford,Escort,Green,1997,1399
E165FRE,Seat,Ibiza,Grey,1997,1596
E172UXB,Toyota,Auris,Grey,1997,1700
E176XCD,Nissan,Qashqai,Turquoise,1997,1796
E179KHD,Volkswagen,Golf,Grey,1997,1298
E180FMJ,Peugeot,2008,Gold,1997,1798
E215MLN,Porsche,Cayenne,Grey,1997,1397
E243VNR,Volkswagen,Golf,Yellow,1997,1300
E250JBR,Toyota,Estima,Orange,1997,1296
E276YYN,Vauxhall,Astra,Purple,1997,1699
E285GUG,Peugeot,208,Purple,1997,1497
E286KWH,Fiat,Panda,Grey,1997,1595
E309NMW,Nissan,Qashqai,Grey,1997,1897
E313JXG,Hyundai,Ix35,Purple,1997,1900
E314CLT,Bmw,X1,Blue,1997,1599
E320JAB,Audi,Q5,White,1997,1899
E321CYL,Skoda,Yeti,Grey,1997,1299
E342VWP,Vauxhall,Corsa,Grey,1997,1496
E362URB,Fiat,500,Orange,1997,2000
E367GHN,Skoda,Fabia,Gold,1997,1399
E381MYT,Ford,Galaxy,Yellow,1997,1195
E387WBM,Peugeot,5008,Orange,1997,1400
E394HWT,Toyota,Yaris,Black,1997,1400
E428XGU,Mazda,Cx5,Orange,1997,1300
E430MPC,Skoda,Fabia,Blue,1997,1798
E440RWF,Fiat,Punto,Red,1997,1197
E445JMF,Ford,Focus,Orange,1997,1197
E451JRN,Skoda,Karoq,White,1997,1797
E469JVX,Honda,Civic,Gold,1997,1699
E485TLD,Vauxhall,Insignia,Blue,1997,1399
E488PWJ,Skoda,Rapid,Silver,1997,1595
E506YVW,Volvo,Xc90,Grey,1997,1600
E524PLU,Ford,Fiesta,Black,1997,1796
E527PBP,Seat,Ibiza,White,1997,1495
E536FCJ,Jeep,Cherokee,Yellow,1997,1699
E581XWA,Audi,A6,Green,1997,1795
E583TLN,Vauxhall,Astra,Yellow,1997,1099
E603FCX,Mini,One,Turquoise,1997,1796
E619YCK,Skoda,Octavia,Yellow,1997,1198
E619YWB,Citroen,C4,White,1997,1697
E629EDC,Peugeot,307,Blue,1997,1397
E646VWW,Skoda,Karoq,Silver,1997,1798
E678KYF,Vauxhall,Corsa,White,1997,1095
E686HFV,Nissan,Qashqai,Grey,1997,1699
E704AVW,Toyota,Corolla,Red,1997,1400
E719WNP,Vauxhall,Astra,Grey,1997,1095
E720LUT,Volkswagen,Tiguan,Blue,1997,1396
E724UAD,Porsche,Panamera,Yellow,1997,1598
E733VVK,Mitsubishi,Eclipse,Grey,1997,1800
E735AHE,Peugeot,208,Red,1997,1397
E743FCR,Volkswagen,Polo,Turquoise,1997,1600
E747UBX,Ford,Fiesta,Gold,1997,1500
E782JBL,Ford,Mondeo,Black,1997,1597
E801KHK,Peugeot,208,White,1997,1399
E841HBL,Volkswagen,Golf,Orange,1997,1695
E848GWW,Fiat,Tipo,Blue,1997,1597
E856DYR,Toyota,Yaris,Purple,1997,1098
E857YBB,Ford,Fiesta,Red,1997,1400
E880ANY,Ford,Fiesta,Black,1997,1398
E881TPK,Kia,Sportage,Turquoise,1997,1595
E882KYA,Toyota,Yaris,Orange,1997,1497
E886GYK,Honda,Civic,Black,1997,1596
E891WVU,Mini,Cooper,White,1997,1399
E899RFB,Vauxhall,Crossland,Silver,1997,1396
E913FXJ,Suzuki,Vitara,Black,1997,1495
E926XYT,Ford,Focus,Red,1997,1399
E928GBB,Vauxhall,Astra,Turquoise,1997,1597
E940GRR,Volkswagen,Golf,Orange,1997,1497
E944DHG,Suzuki,Alto,Silver,1997,1499
E974LKF,Vauxhall,Meriva,Turquoise,1997,1599
E998CTG,Ds,Ds3,Yellow,1997,1195
EA01MCK,Volvo,V60,Yellow,2001,1498
EA14FHA,Bmw,X5,Grey,2014,1596
EA18VLV,Toyota,Corolla,Purple,2018,1296
EAD678F,Suzuki,Jimny,Orange,1977,1595
EAH797G,Vauxhall,Astra,Purple,1976,1499
EAN822J,Kia,Venga,Purple,1973,1496
EB06MKW,Peugeot,406,Yellow,2006,1695
EB08MHA,Renault,Kangoo,Blue,2008,1399
EB10LBY,Seat,Ibiza,Red,2010,1396
EB13WKP,Citroen,C4,Gold,2013,1595
EB13WLD,Renault,Captur,Black,2013,1799
EB18HYP,Toyota,Corolla,Silver,2018,1798
EBM250B,Vauxhall,Zafira,Orange,1981,1395
EBP771E,Ford,Tourneo,Red,1978,1198
EBT911E,Renault,Scenic,Black,1978,2100
EC01BFK,Volvo,S40,White,2001,1399
EC07VAU,Volkswagen,Scirocco,Grey,2007,1696
EC10HKX,Audi,A6,Silver,2010,1500
EC10PXE,Kia,Niro,White,2010,1497
EC14TEN,Volkswagen,Touran,Blue,2014,1598
EC17BXA,Rover,75,Purple,2017,1297
ECH482B,Volvo,Xc60,Gold,1981,1397
ECU638J,Kia,Picanto,Orange,1973,1598
ED02AYK,Nissan,Juke,Orange,2002,1398
ED05WNJ,Peugeot,208,Silver,2005,1597
ED16KMG,Honda,Jazz,Yellow,2016,2098
ED16RGR,Audi,A3,Grey,2016,1499
EE14EJX,Honda,Jazz,Gold,2014,1400
EE18CWB,Nissan,Juke,White,2018,1499
EER445H,Nissan,Micra,Turquoise,1975,1498
EET294C,Toyota,Aygo,Turquoise,1980,1396
EEY783H,Volkswagen,Passat,Orange,1975,1298
EF03YFD,Peugeot,307,Gold,2003,1695
EF07DWN,Ford,Focus,Grey,2007,1696
EF09VKC,Hyundai,Tucson,Green,2009,1497
EFR806G,Skoda,Fabia,Black,1976,1400
EG05XAK,Ford,Mondeo,Silver,2005,1698
EG06HRT,Audi,A3,Grey,2006,1697
EG06UPY,Ford,Focus,Yellow,2006,1595
EG09DEB,Jeep,Cherokee,Red,2009,1700
EG10VJP,Vauxhall,Corsa,Green,2010,1697
EG11AVH,Seat,Alhambra,Black,2011,1597
EG12FLR,Vauxhall,Astra,Yellow,2012,1698
EG18GPA,Volkswagen,Golf,Yellow,2018,1500
EG19VPD,Kia,Sportage,Red,2019,1597
EG20KPM,Fiat,500,Turquoise,2020,1696
EGA692F,Mini,Cooper,Yellow,1977,1799
EH01CWR,Ford,Fiesta,Black,2001,1796
EH08LKK,Vauxhall,Astra,Turquoise,2008,1696
EH11NFU,Bmw,Z3,Green,2011,1498
EH17WTR,Renault,Clio,Grey,2017,1397
EHM248E,Toyota,Yaris,Gold,1978,1299
EHT912I,Skoda,Yeti,Silver,1974,1095
EJ20KNB,Renault,Megane,Silver,2020,1496
EJD595G,Kia,Picanto,Gold,1976,1398
EJY861K,Audi,Q5,Gold,1972,2000
EK05PNF,Ford,Fiesta,White,2005,1197
EKG532F,Nissan,Juke,Grey,1977,1197
EKR199H,Ford,Fusion,Grey,1975,1198
EL15JFL,Ford,Fiesta,Turquoise,2015,1396
EL16KUA,Citroen,C3,Yellow,2016,1898
ELC680F,Audi,A6,Silver,1977,1499
EM08AKM,Hyundai,I40,Red,2008,1500
EM09ARF,Dacia,Sandero,Gold,2009,1896
EM10YBU,Nissan,Note,Red,2010,1597
EM14CWB,Volkswagen,Golf,Turquoise,2014,1796
EMA971H,Vauxhall,Astra,White,1975,1598
EMM132B,Ford,Focus,Gold,1981,1798
EMW672E,Peugeot,208,Purple,1978,1199
EN17HTF,Volkswagen,Golf,White,2017,1395
EN17UPK,Peugeot,308,Silver,2017,1495
ENC738D,Dacia,Sandero,Red,1979,1699
EP04BBX,Audi,Rs7,Red,2004,1696
EP18XFY,Vauxhall,Corsa,Orange,2018,1495
ER14AXW,Lexus,Is250,Grey,2014,1495
ER17XHE,Subaru,Justy,Green,2017,1500
ERE543J,Ford,Focus,Gold,1973,1599
ET02YVV,Hyundai,Tucson,White,2002,1596
ET03TFD,Vauxhall,Corsa,Gold,2003,1896
ET07VNW,Ford,Fiesta,Yellow,2007,1295
ET10HAX,Kia,Venga,Red,2010,1595
ETE754J,Peugeot,206,Green,1973,1498
ETL356D,Vauxhall,Astra,Yellow,1979,1100
ETN779C,Kia,Venga,Black,1980,1497
ETU768F,Vauxhall,Astra,White,1977,1600
ETV579E,Fiat,500,Orange,1978,1795
EU05PDX,Chevrolet,Lacetti,Black,2005,1698
EU08WKU,Vauxhall,Astra,Blue,2008,1898
EU18JUY,Bmw,I3,White,2018,1596
EUE719H,Mazda,Cx5,Orange,1975,1895
EUG458H,Vauxhall,Mokka,Orange,1975,1596
EUJ290H,Mini,Countryman,Blue,1975,1595
EUJ833E,Peugeot,206,Turquoise,1978,1497
EV01JWK,Skoda,Octavia,Black,2001,1597
EV06XKX,Ford,Fiesta,Gold,2006,1297
EV08EHG,Skoda,Superb,Red,2008,1199
EVJ142D,Vauxhall,Corsa,Black,1979,1597
EW01VHK,Seat,Ibiza,Yellow,2001,1197
EW07WGX,Ford,Focus,Turquoise,2007,1496
EWJ518D,Dacia,Sandero,Gold,1979,1900
EWK862L,Hyundai,I10,Purple,1971,1495
EWY430L,Toyota,Avensis,Silver,1971,1400
EX04KFV,Ford,Fiesta,Gold,2004,1597
EX10VEL,Ford,Fiesta,Yellow,2010,1400
EXE346C,Volkswagen,Beetle,Black,1980,1697
EXJ112G,Fiat,Doblo,Orange,1976,1599
EXU633H,Vauxhall,Corsa,Purple,1975,1500
EY02GXN,Audi,Q2,Black,2002,1297
EY05UHM,Vauxhall,Insignia,Grey,2005,1500
EY13HJP,Vauxhall,Corsa,Green,2013,1397
EY16MVX,Suzuki,Jimny,Red,2016,1497
EY16UJK,Ford,Focus,Orange,2016,1399
EYF128H,Fiat,500,Blue,1975,1495
EYN417D,Toyota,Corolla,Silver,1979,1498
EYW908E,Vauxhall,Astra,Purple,1978,1595
F106UPD,Audi,A5,Orange,1996,1799
F108JMU,Hyundai,I10,White,1996,1096
F110YEB,Vauxhall,Zafira,Red,1996,1898
F127GEN,Seat,Ibiza,Blue,1996,1798
F132TYE,Volkswagen,Touran,Silver,1996,1596
F187AJW,Nissan,Qashqai,Black,1996,1497
F191RVP,Volkswagen,Touran,Gold,1996,1397
F199GXB,Renault,Megane,Blue,1996,1395
F209EFK,Renault,Kadjar,Orange,1996,1299
F213NPM,Toyota,Yaris,Red,1996,1200
F216ALX,Volkswagen,Golf,Orange,1996,1395
F276CJH,Bmw,X1,Black,1996,1499
F278MWJ,Seat,Leon,Yellow,1996,1597
F289DUV,Vauxhall,Astra,Green,1996,1495
F294NKP,Audi,Q3,Silver,1996,1900
F297BXY,Toyota,Yaris,Purple,1996,1397
F310UDE,Volvo,Xc90,Turquoise,1996,1897
F311LFN,Ford,Mondeo,Red,1996,1599
F355DHN,Mazda,3,White,1996,1696
F358RKV,Ford,Focus,Orange,1996,1396
F375XED,Citroen,Dispatch,Silver,1996,1698
F385MNG,Subaru,Forester,Black,1996,1397
F387MUC,Mini,Countryman,Blue,1996,1198
F400EUF,Audi,Q7,Red,1996,1500
F421XKA,Dacia,Duster,Grey,1996,1399
F429VKA,Seat,Ibiza,Red,1996,1300
F451DXA,Skoda,Octavia,White,1996,1199
F455XJH,Volkswagen,Beetle,Blue,1996,1299
F478EDK,Nissan,Qashqai,Gold,1996,1599
F478GBH,Ford,Focus,Gold,1996,1300
F484YDD,Ford,Mustang,White,1996,1595
F498WVA,Honda,Jazz,Gold,1996,1299
F503KJN,Toyota,Aygo,Gold,1996,1600
F519MDT,Toyota,Yaris,Yellow,1996,1396
F520FAL,Ford,Ecosport,Purple,1996,1695
F524AHE,Mg,3,White,1996,1698
F528FEG,Fiat,Punto,Grey,1996,1497
F534XNL,Toyota,Estima,Yellow,1996,1495
F549WGY,Audi,A3,Silver,1996,1700
F553ETW,Volkswagen,Tiguan,Gold,1996,1695
F557RVK,Vauxhall,Zafira,Red,1996,1600
F576XRD,Hyundai,I10,White,1996,1599
F593LCB,Kia,Sportage,Turquoise,1996,1397
F608BVT,Vauxhall,Mokka,White,1996,1496
F618EPM,Fiat,500,White,1996,1697
F621KFW,Audi,A3,Grey,1996,1595
F633KYX,Ford,Focus,Black,1996,1298
F640XHY,Mini,Countryman,Black,1996,1599
F641YJD,Ford,Focus,Purple,1996,1799
F667DCP,Nissan,Qashqai,Blue,1996,1500
F668PNH,Volkswagen,Golf,Silver,1996,1495
F670XXF,Mini,Cooper,Black,1996,1500
F696VVR,Toyota,Landcruiser,Yellow,1996,1595
F697FLU,Mazda,2,Yellow,1996,1595
F711AMB,Ford,Kuga,Black,1996,1299
F729LTA,Suzuki,Swift,Black,1996,1598
F743BAK,Volkswagen,Golf,Grey,1996,1495
F753VHT,Mazda,Cx3,Red,1996,1499
F774GMN,Skoda,Fabia,Orange,1996,1695
F791AKL,Mazda,Cx3,Purple,1996,1496
F805TWB,Nissan,Micra,Turquoise,1996,1100
F808RAH,Peugeot,207,Orange,1996,1499
F811RNG,Volkswagen,Golf,Turquoise,1996,1096
F825KVJ,Audi,A3,Black,1996,1299
F835ANR,Ford,Focus,Black,1996,1396
F854GNN,Mini,One,Silver,1996,1400
F879HYK,Ford,Focus,Grey,1996,1500
F882BPD,Toyota,Aygo,Green,1996,1596
F909VJT,Bmw,M1,Red,1996,1298
F933DPW,Volkswagen,Golf,Turquoise,1996,1697
F964XKA,Volkswagen,Polo,Orange,1996,1898
F970DDB,Renault,Kadjar,Turquoise,1996,1395
F980TML,Audi,A4,Grey,1996,1999
F982ARL,Vauxhall,Corsa,Orange,1996,1499
FA06DDN,Seat,Leon,Orange,2006,1496
FA18GYF,Seat,Ibiza,Red,2018,1597
FA19BXK,Volkswagen,Tiguan,Turquoise,2019,1497
FAT801L,Peugeot,208,Grey,1971,1699
FB04YUF,Dacia,Sandero,Yellow,2004,1699
FB07NGF,Renault,Clio,Grey,2007,1598
FB08CRA,Volkswagen,Sharan,Purple,2008,1396
FB15MYG,Ford,Kuga,Silver,2015,1297
FB18TVH,Ford,Galaxy,Green,2018,1696
FB19VVA,Audi,A4,Grey,2019,1595
FBB274H,Audi,A3,White,1975,1498
FBL620F,Vauxhall,Astra,Purple,1977,1896
FC02HVV,Audi,A4,Turquoise,2002,1600
FC13HGH,Ford,Fiesta,Red,2013,1200
FC17AXC,Audi,A5,Red,2017,1600
FCA387I,Ford,Ecosport,Gold,1974,2000
FCA464K,Ford,Focus,Orange,1972,1499
FCJ274B,Mini,Cooper,Turquoise,1981,899
FCJ481I,Vauxhall,Astra,Green,1974,1395
FD07DNL,Nissan,Qashqai,Blue,2007,1598
FD12BRD,Seat,Ibiza,White,2012,1596
FD14UHG,Peugeot,207,Yellow,2014,1296
FD18XAD,Audi,Q3,Silver,2018,1497
FD19RUV,Vauxhall,Agila,Turquoise,2019,1499
FDG282F,Citroen,Xsara,Purple,1977,1197
FDK815D,Ford,Focus,Gold,1979,1595
FE04WGC,Renault,Megane,Silver,2004,1700
FE05TWD,Jeep,Renegade,White,2005,1899
FE11LNK,Volkswagen,Touran,Orange,2011,1800
FE15BUJ,Ford,Fiesta,Gold,2015,1696
FE17BYD,Audi,A5,Turquoise,2017,1396
FE17UWR,Honda,Jazz,Yellow,2017,1697
FEU663D,Seat,Leon,Black,1979,1500
FF01APW,Peugeot,206,Blue,2001,1595
FF03UMB,Ford,Focus,Purple,2003,1595
FF18BWF,Renault,Modus,Blue,2018,1196
FF18GRM,Chevrolet,Spark,Grey,2018,1595
FF18UCP,Daihatsu,Sirion,Orange,2018,1095
FG04CXK,Renault,Clio,Black,2004,1596
FG11XFP,Audi,A3,Red,2011,1597
FG15WCR,Peugeot,107,Grey,2015,1296
FG17JRD,Vauxhall,Corsa,Orange,2017,1598
FGD833E,Peugeot,308,Black,1978,1500
FGP514G,Seat,Ibiza,Purple,1976,1496
FH08JEH,Volkswagen,Golf,Gold,2008,1398
FH10RBC,Nissan,Micra,Turquoise,2010,1296
FH11LEB,Ford,Fiesta,Turquoise,2011,1799
FH14UVT,Kia,Ceed,Green,2014,1497
FH16LRU,Honda,Crv,White,2016,1497
FHR839L,Maserati,Coupe,Turquoise,1971,1699
FJ19WND,Toyota,Aygo,Purple,2019,1496
FJE327D,Nissan,Note,Red,1979,1200
FJL507I,Nissan,Almera,Orange,1974,1598
FK02ELH,Volkswagen,Golf,Green,2002,1298
FK06GWJ,Mini,Cooper,Black,2006,1895
FK09ALH,Renault,Megane,Gold,2009,1100
FK09CLL,Honda,Crv,Yellow,2009,1599
FK09YUN,Peugeot,206,Orange,2009,1899
FK12LCL,Renault,Kangoo,Grey,2012,1895
FK14PJY,Peugeot,306,Gold,2014,1595
FK20PET,Honda,Civic,Orange,2020,1295
FKF513I,Volvo,Xc90,Black,1974,1700
FL03EVA,Mazda,Cx3,Blue,2003,1598
FL06VJR,Audi,Q3,Turquoise,2006,1896
FLK764F,Renault,Clio,Turquoise,1977,1496
FLN950K,Renault,Kadjar,Yellow,1972,1500
FM10CYX,Toyota,Prius,Turquoise,2010,1795
FM10RBX,Vauxhall,Corsa,Black,2010,1795
FMW357D,Seat,Arona,Silver,1979,1498
FMW911L,Peugeot,308,Red,1971,1499
FN01TNP,Bmw,I3,White,2001,1395
FN04LDA,Honda,Civic,Purple,2004,1400
FN06BMM,Volkswagen,Up,Turquoise,2006,1795
FN07EAJ,Mitsubishi,Outlander,Grey,2007,1500
FN07FWM,Ford,Galaxy,Grey,2007,1395
FN19JYB,Volkswagen,Up,Turquoise,2019,1697
FNB191K,Bmw,X5,Gold,1972,1497
FND543J,Vauxhall,Mokka,Red,1973,1496
FP03DPK,Toyota,Corolla,Red,2003,1895
FP04BPD,Volkswagen,Golf,Red,2004,1299
FP04LGR,Volkswagen,Golf,Blue,2004,1295
FP12KYK,Volkswagen,Beetle,Black,2012,1299
FP12YYB,Mini,Clubman,Grey,2012,1698
FP14TKR,Nissan,Note,Yellow,2014,1295
FP18EFR,Kia,Stonic,Silver,2018,1196
FP19MFJ,Kia,Rio,Gold,2019,1799
FP20WVW,Audi,A3,Silver,2020,1398
FPB661B,Volvo,Xc90,Green,1981,1500
